,x
1587,202059_s_at
1588,202060_at
1589,202061_s_at
1590,202062_s_at
1591,202063_s_at
1592,202064_s_at
1593,202065_s_at
1594,202066_at
1595,202067_s_at
1596,202068_s_at
1597,202069_s_at
1598,202070_s_at
1599,202071_at
1600,202072_at
1601,202073_at
1602,202074_s_at
1603,202075_s_at
1604,202076_at
1605,202077_at
1606,202078_at
1607,202079_s_at
1608,202080_s_at
1609,202081_at
1610,202082_s_at
1611,202083_s_at
1612,202084_s_at
1613,202085_at
1614,202086_at
1615,202087_s_at
1616,202088_at
1617,202089_s_at
1618,202090_s_at
1619,202091_at
1620,202092_s_at
1621,202093_s_at
1622,202094_at
1623,202095_s_at
1624,202096_s_at
1625,202097_at
